case:concept:name,reason
188485,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
189805,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
191644,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
193647,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
193968,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
194139,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
194269,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
195082,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
195175,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
195247,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
195259,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
195323,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
195654,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
196045,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
196057,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
196341,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
196455,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
196602,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
196867,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
196948,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
197093,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
197162,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
197168,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
197530,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
197605,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
198232,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
198253,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
198274,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
198415,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
198585,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
198618,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
199014,"alignment-based replay of the historical prefix needed at least one 'log move' -- a logged activity the model could not explain at all (a genuine deviation). Informational only: unlike the old token-based replay, the reconstructed marking is always legally reachable, so this does not by itself put the case at risk of an unrecoverable loop."
