case:concept:name,inserted_activities,reason
201812004921,Pending Liquidation Request,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
201812007439,Request deleted,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
20191002511,Request deleted,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
20191002521,Request deleted,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
20191004011,Request deleted,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
20191005922,Request deleted,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
20191008446,Request deleted,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
20191009680,Request deleted,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
20191010699,Service closure Request with network responsibility,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
20191010712,Service closure Request with network responsibility,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
20191010902,Request completed with customer recovery,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
20191011038,Request deleted,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
20191011155,Request deleted,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
