case:concept:name,inserted_activities,reason
188485,W_Completeren aanvraag;W_Completeren aanvraag;W_Completeren aanvraag;O_SENT_BACK;W_Completeren aanvraag;O_SELECTED;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
189805,W_Completeren aanvraag;W_Completeren aanvraag;O_CANCELLED;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
191644,O_SENT_BACK,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
193647,W_Completeren aanvraag;O_SELECTED;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
193968,O_CANCELLED;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
194139,W_Completeren aanvraag;O_SENT_BACK;W_Completeren aanvraag;O_SENT_BACK;O_SELECTED;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
194269,O_CANCELLED;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
195082,O_CANCELLED;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
195175,O_SELECTED;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
195247,W_Valideren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
195259,W_Completeren aanvraag;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
195323,W_Completeren aanvraag;O_SENT_BACK;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
195654,W_Completeren aanvraag;O_SELECTED;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
196045,W_Completeren aanvraag;O_SELECTED;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
196057,W_Completeren aanvraag;O_CANCELLED;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
196060,W_Completeren aanvraag;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
196341,W_Completeren aanvraag;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
196455,W_Completeren aanvraag;O_SENT_BACK,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
196521,O_SENT_BACK;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
196602,W_Completeren aanvraag;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
196867,W_Completeren aanvraag;W_Completeren aanvraag;O_SELECTED;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
196948,W_Valideren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
197051,W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
197093,W_Completeren aanvraag;A_ACCEPTED;W_Completeren aanvraag;O_CANCELLED;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
197162,O_SENT_BACK;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
197168,O_SELECTED;W_Completeren aanvraag,"alignment needed to insert visible activity(ies) not present in the historical log to explain how the model reaches a state consistent with the logged prefix. Never written to the output log -- the saved prefix is always exactly the input log, unchanged -- but these ARE counted in this case's activity-history used for probabilistic weighting of subsequent simulated events."
